number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lambda_mono,params_learning_rate,params_num_layers,params_weight_decay,user_attrs_optimal_epochs,state
116,0.1256813791394234,2026-02-28 14:38:06.538601,2026-02-28 14:40:01.059709,0 days 00:01:54.521108,GELU,96,0.39218066777502963,0.002485490344389695,3,7.940441470181187e-05,71.0,COMPLETE
117,0.12601781710982324,2026-02-28 14:40:01.085389,2026-02-28 14:41:29.297042,0 days 00:01:28.211653,GELU,96,0.3966608247584218,0.002499195566091393,3,6.308678160771942e-05,45.0,COMPLETE
118,0.1230414455384016,2026-02-28 14:41:29.328915,2026-02-28 14:43:30.370101,0 days 00:02:01.041186,GELU,96,0.267900843208578,0.002568313228116084,3,7.956242389144009e-05,75.0,COMPLETE
119,0.12848509907722472,2026-02-28 14:43:30.402745,2026-02-28 14:44:59.278169,0 days 00:01:28.875424,GELU,96,0.30410958496372803,0.0023780604960316307,3,8.017135577971897e-05,45.0,COMPLETE
120,0.13117063999176026,2026-02-28 14:44:59.307949,2026-02-28 14:47:05.636960,0 days 00:02:06.329011,SiLU,96,0.2469414310686016,0.002671129002084092,3,7.221195334036678e-05,73.0,COMPLETE
121,0.12818931624293328,2026-02-28 14:47:05.667011,2026-02-28 14:48:33.639340,0 days 00:01:27.972329,GELU,96,0.18755430220816807,0.003055396058920445,3,5.505094290729653e-05,43.0,COMPLETE
122,0.1207480888068676,2026-02-28 14:48:33.674682,2026-02-28 14:50:09.177580,0 days 00:01:35.502898,GELU,96,0.36408455929105954,0.0029549607810257224,3,7.010115160487686e-05,50.0,COMPLETE
123,0.1242656198143959,2026-02-28 14:50:09.212968,2026-02-28 14:51:38.289771,0 days 00:01:29.076803,GELU,96,0.279469391491798,0.002964738446806827,3,6.741155410334602e-05,46.0,COMPLETE
124,0.125655584782362,2026-02-28 14:51:38.319594,2026-02-28 14:53:05.185082,0 days 00:01:26.865488,GELU,96,0.23309684133150133,0.0029757716858774736,3,6.886645983260547e-05,44.0,COMPLETE
125,0.12830206051468848,2026-02-28 14:53:05.219269,2026-02-28 14:54:35.949721,0 days 00:01:30.730452,GELU,96,0.2814800104716357,0.0032984774688787025,3,6.022783916306417e-05,48.0,COMPLETE
126,0.12819799199700355,2026-02-28 14:54:35.978197,2026-02-28 14:55:54.240695,0 days 00:01:18.262498,GELU,96,0.19494233479738138,0.002944276961555098,3,7.346637425170813e-05,36.0,COMPLETE
127,0.1271105709671974,2026-02-28 14:55:54.264946,2026-02-28 14:57:24.022522,0 days 00:01:29.757576,GELU,96,0.23459155298680184,0.0029954464375013513,3,6.432205490594936e-05,47.0,COMPLETE
128,0.12961775742471218,2026-02-28 14:57:24.051323,2026-02-28 14:59:00.881951,0 days 00:01:36.830628,GELU,96,0.10653617146931799,0.003131674518728939,3,6.871530461536988e-05,54.0,COMPLETE
129,0.12954521775245667,2026-02-28 14:59:00.904862,2026-02-28 15:00:24.923681,0 days 00:01:24.018819,GELU,96,0.12822871253018625,0.002827128109033207,3,5.853201028710239e-05,40.0,COMPLETE
130,0.12561365373432637,2026-02-28 15:00:24.952071,2026-02-28 15:01:58.787182,0 days 00:01:33.835111,GELU,96,0.23249630970175894,0.003512951672971386,3,5.312305300416126e-05,47.0,COMPLETE
